age,sex,adj1,adj2,adj3,adj4,adj5,celeb1_name,celeb2_name,celeb3_name,celeb4_name,celeb5_name
62,female,gravelly,raspy,low,warm,smooth,Joan Chen,Glenn Close,Meryl Streep,Diane Kruger,Susan Lucci
37,male,high-pitched,nasal,bright,thin,nervous,Paul Giamatti,Seth Rogen,Jack Black,Jason Segel,Neil Gaiman
71,male,deep,resonant,authoritative,strong,booming,James Earl Jones,Brian Blessed,John Goodman,Ron Perlman,Ian McKellen
28,female,sweet,gentle,soft,clear,youthful,Amanda Seyfried,Saoirse Ronan,Lily Cole,Zooey Deschanel,Katherine Heigl
51,female,crisp,clear,strong,confident,sharp,Katheryn Winnick,Taraji P. Henson,Viola Davis,Sanaa Lathan,Angela Bassett
62,female,gravelly,raspy,low,warm,hoarse,Diane Kruger,Leslie Mann,Marcia Cross,Glenn Close,Meryl Streep
37,male,smooth,resonant,deep,calm,clear,Henry Cavill,Hugh Bonneville,Damian Lewis,Sam Heughan,James Earl Jones
28,female,bright,cheerful,high-pitched,clear,bubbly,Zooey Deschanel,Lea Michele,America Ferrera,Katherine Heigl,Kristen Bell
71,male,gruff,rumbling,strong,booming,deep,Brian Blessed,John Goodman,James Earl Jones,Ron Perlman,David Warner
45,female,crisp,precise,clear,sharp,authoritative,Constance Zimmer,Viola Davis,Meryl Streep,Olivia Colman,Tilda Swinton
37,female,soft,gentle,mellow,calm,soothing,Amanda Seyfried,Kelly Macdonald,Morena Baccarin,Katheryn Winnick,Shiri Appleby
62,male,gravelly,deep,resonant,rough,powerful,Brian Blessed,James Earl Jones,John Hurt,Willem Dafoe,Ron Perlman
28,female,bright,clear,energetic,lively,cheerful,Kristen Bell,Zooey Deschanel,Lea Michele,Abigail Breslin,Brittany Snow
71,male,raspy,hoarse,weathered,dry,mumbling,John Amos,Christopher Lloyd,Ian McShane,Alan Rickman,David Warner
49,female,sharp,crisp,authoritative,strong,clear,Glenn Close,Meryl Streep,Sigourney Weaver,Holly Hunter,Viola Davis
62,female,raspy,gravelly,low,husky,warm,Janice Dickinson,Milla Jovovich,Glenn Close,Taraji P. Henson,Leslie Mann
35,male,smooth,deep,resonant,calm,clear,Henry Cavill,Sam Heughan,Theo James,Hugh Bonneville,Richard Madden
71,female,high-pitched,bright,crisp,clear,sweet,Carrie Ann Inaba,Julie Gonzalo,Kelli Berglund,Abigail Breslin,Raini Rodriguez
48,male,gruff,raspy,strong,powerful,booming,Brian Blessed,John Amos,James Earl Jones,Ron Perlman,Fred Williamson
